"cycle_id","pond_id","total_seed","started_at","finished_at","area","deep","total_feed","total_weight","harvested_at","status","sampled_at","average_weight","days_difference","adg","fcr","stocking_density","pond_type"
"17738","34705","300000","2022-11-14 00:00:00+07","2023-01-27 00:00:00+07","4999.9041","1.5","5020.0","2554.0","2023-01-27","Full","2023-01-25","8.1011111111111111","2.0000000000000000","1272.9494444444444445","1.9655442443226312","60.0011508220727674","intensif"
"18223","32790","20000","2022-09-28 00:00:00+07","2022-10-20 00:00:00+07","1050.00","1.5","3.0","0.0","2022-10-20","Failed","2022-10-19","0.80000000000000000000","1.00000000000000000000","-0.80000000000000000000",NULL,"19.0476190476190476","supra intensif"
"19239","36831","285714","2022-11-15 00:00:00+07","2023-02-09 00:00:00+07","1024.00","1.3","3827.481","2961.00","2023-02-09","Partial","2023-02-02","7.3037500000000000","7.0000000000000000","421.9566071428571429","1.2926312056737589","279.0175781250000000","supra intensif"
"19669","35778","180000","2022-08-28 00:00:00+07","2022-12-03 00:00:00+07","625.00","1.2","9274.750","8800.0","2022-12-03","Partial","2022-10-26","14.2800000000000000","38.0000000000000000","231.2031578947368421","1.0539488636363636","288.0000000000000000","supra intensif"
"21024","38248","325000","2023-03-13 00:00:00+07","2023-06-30 00:00:00+07","2500.00","1.2","8169.0","4935.31","2023-06-30","Partial","2023-06-26","14.9266666666666667","4.0000000000000000","1230.0958333333333333","1.6552151739201793","130.0000000000000000","intensif"
"14972","31477","66176","2022-06-02 00:00:00+07","2022-08-12 00:00:00+07","782.8713","150.0","1875.15","492.74","2022-08-12","Partial","2022-08-09","10.5300000000000000","3.0000000000000000","160.7366666666666667","3.8055566830377075","84.5298582282937183","supra intensif"
"18231","34588","125000","2022-07-28 00:00:00+07","2022-09-18 00:00:00+07","1400.00","2.0","177.6","100.0","2022-09-18","Full","2022-09-06","4.0000000000000000","12.0000000000000000","8.0000000000000000","1.7760000000000000","89.2857142857142857","supra intensif"
"19065","18389","63000","2021-11-02 00:00:00+07","2022-01-10 00:00:00+07","349.92","1.6","1234.0","1234.0","2022-01-10","Full","2021-12-30","8.4880000000000000","11.0000000000000000","111.4101818181818182","1.00000000000000000000","180.0411522633744856","Undefined"
"15484","20902","347140","2022-07-20 00:00:00+07","2022-10-24 00:00:00+07","2907.00","1.5","6715.0","4636.35","2022-10-24","Partial","2022-10-16","9.1130000000000000","8.0000000000000000","578.4046250000000000","1.4483375931497838","119.4152046783625731","intensif"
"18831","36526","280000","2023-03-08 00:00:00+07","2023-06-07 00:00:00+07","2809.00","1.25","1432.0","564.0","2023-06-07","Full",NULL,NULL,NULL,NULL,"2.5390070921985816","99.6796012815948736","intensif"
"19048","34718","300000","2022-10-11 00:00:00+07","2023-02-05 00:00:00+07","4999.9041","1.5","9513.0","5511.0","2023-02-05","Full","2023-02-01","10.7665000000000000","4.0000000000000000","1375.0583750000000000","1.7261839956450735","60.0011508220727674","intensif"
"20975","34729","200000","2023-01-17 00:00:00+07","2023-05-25 00:00:00+07","4999.9041","1.5","7987.0","5389.6","2023-05-25","Full","2023-05-24","12.1700000000000000","1.00000000000000000000","5377.43000000000000000000","1.4819281579337984","40.0007672147151782","intensif"
